Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.04     40.12     0.01                             ensureBits32 (lodepng.c:542 @ 15216)
  0.04     40.13     0.01                             fill_triangle_color (fill_triangle2.c:209 @ bbba)
  0.04     40.15     0.01                             fill_triangle_texture (fill_triangle.c:247 @ af43)
  0.04     40.16     0.01                             fill_triangle_texture (fill_triangle.c:270 @ b29e)
  0.04     40.18     0.01                             ft_memcpy (ft_memcpy.c:29 @ eb27)
  0.04     40.20     0.01                             ft_memcpy (ft_memcpy.c:28 @ eb2f)
  0.04     40.21     0.01                             huffmanDecodeSymbol (lodepng.c:1078 @ 16060)
  0.04     40.23     0.01                             inflateHuffmanBlock (lodepng.c:1260 @ 1686f)
  0.04     40.24     0.01                             inflateHuffmanBlock (lodepng.c:1305 @ 16a9e)
  0.04     40.26     0.01                             inner_loop (fill_triangle.c:155 @ afb0)
  0.04     40.27     0.01                             lodepng_convert_rgb (lodepng.c:3924 @ 1ba6c)
  0.04     40.28     0.01                             lodepng_crc32 (lodepng.c:2663 @ 175fb)
  0.04     40.30     0.01                             rasterize (draw.c:270 @ 53da)
  0.04     40.31     0.01                             readBits (lodepng.c:575 @ 154a9)
  0.04     40.33     0.01                             readBits (lodepng.c:576 @ 154bf)
  0.02     40.34     0.01 58930523     0.17     0.17  cross_product (vec3.c:99 @ 5f90)
  0.02     40.35     0.01 33280996     0.30     0.30  call_clipping_xy (clipping_xy.c:250 @ ca40)
  0.02     40.36     0.01  9587604     1.04     1.04  ft_isdigit (ft_isdigit.c:14 @ e910)
  0.02     40.37     0.01   743101    13.46    13.46  ft_split (ft_split.c:66 @ f3f0)
  0.02     40.38     0.01   264128    37.86    37.86  line_zplane_intersection (clipping_z.c:39 @ bc20)
  0.02     40.39     0.01                             HuffmanTree_makeTable (lodepng.c:712 @ 15875)
  0.02     40.40     0.01                             HuffmanTree_makeTable (lodepng.c:727 @ 15906)
  0.02     40.41     0.01                             append_buffer (get_next_line_utils.c:114 @ 103d5)
  0.02     40.42     0.01                             append_next_sub (ft_split.c:46 @ f4b0)
  0.02     40.43     0.01                             call_clipping_xy (clipping_xy.c:261 @ ca8a)
  0.02     40.44     0.01                             clipping_z_near (clipping_z.c:137 @ c400)
  0.02     40.45     0.01                             count_inside_points (clipping_xy.c:160 @ cad0)
  0.02     40.46     0.01                             count_inside_points (clipping_xy.c:162 @ cad3)
  0.02     40.47     0.01                             count_inside_points (clipping_xy.c:156 @ cad6)
  0.02     40.48     0.01                             count_inside_points (clipping_xy.c:160 @ cae7)
  0.02     40.49     0.01                             count_inside_points (clipping_xy.c:157 @ cc2e)
