Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.05     78.17     0.04                             v3_add_incl_uv (fill_triangle.c:76 @ b4e8)
  0.05     78.21     0.04                             v3_sub (vec3.c:143 @ 6285)
  0.05     78.25     0.04                             v3_sub (vec3.c:146 @ 62ad)
  0.04     78.28     0.04                             count_inside_points (clipping_xy.c:156 @ cc59)
  0.04     78.32     0.04                             ensureBits32 (lodepng.c:548 @ 153b6)
  0.04     78.36     0.04                             fill_triangle_color (fill_triangle2.c:130 @ b8af)
  0.04     78.39     0.04                             fill_triangle_color (fill_triangle2.c:207 @ bca2)
  0.04     78.42     0.04                             fill_triangle_texture (fill_triangle.c:264 @ b2ff)
  0.04     78.46     0.04                             fill_triangle_texture (fill_triangle.c:271 @ b362)
  0.04     78.50     0.04                             fill_triangle_texture (fill_triangle.c:285 @ b393)
  0.04     78.53     0.04                             ft_memcpy (ft_memcpy.c:28 @ ec31)
  0.04     78.56     0.04                             ft_memcpy (ft_memcpy.c:29 @ ec3b)
  0.04     78.60     0.04                             inflateHuffmanBlock (lodepng.c:1318 @ 16c9e)
  0.04     78.64     0.04                             inner_loop (fill_triangle.c:149 @ b012)
  0.04     78.67     0.04                             update_adler32 (lodepng.c:2146 @ 1725e)
  0.04     78.70     0.03 70798317     0.42     0.42  projection_matrix (init_matrix.c:57 @ 9fe0)
  0.04     78.73     0.03                             advanceBits (lodepng.c:568 @ 1554b)
  0.04     78.76     0.03                             clipping_z_near (clipping_z.c:142 @ c536)
  0.04     78.79     0.03                             count_inside_points (clipping_xy.c:156 @ cbc6)
  0.04     78.82     0.03                             count_inside_points (clipping_xy.c:156 @ cd27)
  0.04     78.85     0.03                             draw_mesh (draw.c:407 @ 5d7f)
  0.04     78.88     0.03                             draw_mesh (draw.c:416 @ 5dab)
  0.04     78.91     0.03                             fill_triangle_color (fill_triangle2.c:141 @ b877)
  0.04     78.94     0.03                             fill_triangle_color (fill_triangle2.c:143 @ b87f)
  0.04     78.97     0.03                             fill_triangle_color (fill_triangle2.c:139 @ b944)
  0.04     79.00     0.03                             fill_triangle_color (fill_triangle2.c:141 @ b950)
  0.04     79.03     0.03                             fill_triangle_color (fill_triangle2.c:208 @ bb7d)
  0.04     79.06     0.03                             fill_triangle_texture (fill_triangle.c:214 @ aee5)
  0.04     79.09     0.03                             fill_triangle_texture (fill_triangle.c:216 @ aef8)
  0.04     79.12     0.03                             fill_triangle_texture (fill_triangle.c:208 @ b077)
  0.04     79.15     0.03                             fill_triangle_texture (fill_triangle.c:292 @ b3a4)
  0.04     79.18     0.03                             fill_triangle_texture (fill_triangle.c:289 @ b3a7)
  0.04     79.21     0.03                             huffmanDecodeSymbol (lodepng.c:1076 @ 16130)
  0.04     79.24     0.03                             inflateHuffmanBlock (lodepng.c:1279 @ 16a90)
  0.04     79.27     0.03                             inner_loop (fill_triangle.c:135 @ b3ad)
  0.04     79.30     0.03                             rasterize (draw.c:258 @ 545b)
  0.04     79.33     0.03                             rasterize (draw.c:278 @ 5561)
  0.04     79.36     0.03                             rasterize (draw.c:284 @ 55ca)
  0.04     79.39     0.03                             rasterize (draw.c:293 @ 5648)
  0.04     79.42     0.03                             rasterize (draw.c:265 @ 5869)
  0.04     79.45     0.03                             scale_to_screen (draw.c:164 @ 56c5)
  0.03     79.47     0.03                             advanceBits (lodepng.c:570 @ 1556f)
  0.03     79.50     0.03                             dot_prod_unit (vec3.c:112 @ 619e)
  0.03     79.53     0.03                             draw_mesh (draw.c:373 @ 5b13)
  0.03     79.55     0.03                             draw_mesh (draw.c:419 @ 5dce)
  0.03     79.58     0.03                             ensureBits25 (lodepng.c:528 @ 151a3)
  0.03     79.60     0.03                             fill_triangle_color (fill_triangle2.c:197 @ bb8e)
  0.03     79.62     0.03                             fill_triangle_color (fill_triangle2.c:205 @ bc7e)
  0.03     79.65     0.03                             fill_triangle_texture (fill_triangle.c:270 @ b35e)
  0.03     79.67     0.03                             fill_triangle_texture (fill_triangle.c:281 @ b38f)
  0.03     79.70     0.03                             ft_memcpy (ft_memcpy.c:29 @ eb88)
  0.03     79.72     0.03                             huffmanDecodeSymbol (lodepng.c:1078 @ 16150)
  0.03     79.75     0.03                             zero_f (utils1.c:64 @ 7a5e)
  0.03     79.78     0.03                             zero_f (utils1.c:64 @ 7a67)
  0.02     79.80     0.02                             call_clipping_xy (clipping_xy.c:262 @ d0a0)
  0.02     79.81     0.02                             clipp_loop (clipping_xy.c:241 @ ccb6)
  0.02     79.83     0.02                             clipping_z_near (clipping_z.c:137 @ c525)
  0.02     79.86     0.02                             count_inside_points (clipping_xy.c:156 @ ccf7)
  0.02     79.88     0.02                             count_inside_points (clipping_xy.c:160 @ cec0)
  0.02     79.89     0.02                             count_inside_points (clipping_xy.c:161 @ cf3c)
  0.02     79.92     0.02                             count_inside_points (clipping_xy.c:158 @ cf78)
  0.02     79.94     0.02                             draw_mesh (draw.c:409 @ 5d87)
  0.02     79.95     0.02                             ensureBits32 (lodepng.c:545 @ 1532e)
  0.02     79.97     0.02                             fill_slider (menu.c:93 @ ddd8)
  0.02     80.00     0.02                             fill_triangle_color (fill_triangle2.c:110 @ b79c)
